club_id,official_name,short_name,abbreviation,founding_year,city,country
1,"Ballspielverein Borussia 09 e. V. Dortmund","Borussia Dortmund","BVB",1909,"Dortmund","Germany"
2,"Fußball-Club Augsburg 1907 e. V.","FC Augsburg","FCA",1907,"Augsburg","Germany"
3,"Bayer 04 Leverkusen Fußball GmbH","Bayer Leverkusen","B04",1904,"Leverkusen","Germany"
4,"Fußball-Club Bayern München e. V.","Bayern München","FCB",1900,"Munich","Germany"
5,"Borussia Verein für Leibesübungen 1900 e.V. Mönchengladbach","Borussia Mönchengladbach","BMG",1900,"Mönchengladbach","Germany"
6,"Eintracht Frankfurt e.V.","Eintracht Frankfurt","SGE",1899,"Frankfurt","Germany"
7,"Sport-Club Freiburg e.V.","SC Freiburg","SCF",1904,"Freiburg","Germany"
8,"Hamburger Sport-Verein e.V.","Hamburger SV","HSV",1919,"Hamburg","Germany"
9,"1. Fußballclub Heidenheim 1846 e.V.","1. FC Heidenheim 1846","FCH",1846,"Heidenheim","Germany"
10,"Turn- und Sportgemeinschaft 1899 Hoffenheim e.V.","TSG Hoffenheim","TSG",1899,"Sinsheim","Germany"
11,"1. Fußball-Club Köln 01/07 e. V.","1. FC Köln","KOE",1948,"Cologne","Germany"
12,"RasenBallsport Leipzig e.V.","RB Leipzig","RBL",2009,"Leipzig","Germany"
13,"1. Fußball- und Sport-Verein Mainz 05 e.V.","1. FSV Mainz 05","M05",1910,"Mainz","Germany"
14,"Fußball-Club St. Pauli von 1910 e.V.","St. Pauli","STP",1910,"Hamburg","Germany"
15,"Verein für Bewegungsspiele Stuttgart 1893 e. V.","VfB Stuttgart","VFB",1893,"Stuttgart","Germany"
16,"1. Fußballclub Union Berlin e. V.","Union Berlin","FCU",1966,"Berlin","Germany"
17,"Sportverein Werder Bremen von 1899 e. V.","Werder Bremen","SVW",1899,"Bremen","Germany"
18,"Verein für Leibesübungen Wolfsburg e. V.","VfL Wolfsburg","WOB",1945,"Wolfsburg","Germany"
19,"Fußballclub Gelsenkirchen-Schalke 04 e. V.","Schalke 04","S04",1904,"Gelsenkirchen","Germany"
20,"1. Fußball-Club Kaiserslautern e. V.","1. FC Kaiserslautern","FCK",1900,"Kaiserslautern","Germany"
21,"Rot-Weiss Essen e. V.","Rot-Weiss Essen","RWE",1907,"Essen","Germany"
22,"Hertha Berliner Sport-Club e. V.","Hertha BSC","BSC",1892,"Berlin","Germany"
23,"Verein für Leibesübungen Bochum 1848 Fußballgemeinschaft","VfL Bochum","BOC",1848,"Bochum","Germany"
24,"1. Fußball-Club Nürnberg Verein für Leibesübungen e. V.","1. FC Nürnberg","FCN",1900,"Nuremberg","Germany"
25,"Hannoverscher Sportverein von 1896","Hannover 96","H96",1896,"Hanover","Germany"
26,"Kieler Sportvereinigung Holstein von 1900 e.v.","Holstein Kiel","KSV",1900,"Kiel","Germany"
27,"Sportverein Darmstadt 1898 e.V.","SV Darmstadt 98","SVD",1898,"Darmstadt","Germany"
28,"Deutscher Sport-Club Arminia Bielefeld","DSC Arminia Bielefeld","DSC",1905,"Bielefeld","Germany"
29,"Spielvereinigung Greuther Fürth","Greuther Fürth","SGF",1903,"Fürth","Germany"
30,"Düsseldorfer Turn- und Sportverein Fortuna 1895 e.V.","Fortuna Düsseldorf","F95",1895,"Düsseldorf","Germany"
31,"Sport-Club Paderborn 07 e.V.","SC Paderborn 07","SCP",1907,"Paderborn","Germany"
32,"Fußballclub Ingolstadt 04 e. V.","FC Ingolstadt 04","FCI",2004,"Ingolstadt","Germany"
33,"Braunschweiger Turn- und Sportverein Eintracht von 1895 e.V.","Eintracht Braunschweig","EBS",1895,"Braunschweig","Germany"
34,"Karlsruher Sport-Club Mühlburg-Phönix e. V.","Karlsruher SC","KSC",1894,"Karlsruhe","Germany"
35,"Sportgemeinschaft Dynamo Dresden e.V.","SG Dynamo Dresden","SGD",1953,"Dresden","Germany"
36,"Sportclub Preußen 1906 e.V. Münster","SC Preußen Münster","PRM",1906,"Münster","Germany"
37,"Sportvereinigung 07 Elversberg e.V.","SV Elversberg","SVE",1907,"Elversberg","Germany"
38,"1. Fußballclub Magdeburg e. V.","1. FC Magdeburg","FCM",1965,"Magdeburg","Germany"
39,"Sport- und Schwimmverein Jahn Regensburg e. V.","SSV Jahn Regensburg","REG",1907,"Regensburg","Germany"
40,"SSV Ulm 1846 FUSSBALL e.V.","SSV Ulm 1846","ULM",1846,"Ulm","Germany"
41,"Fußballclub Energie Cottbus e. V.","FC Energie Cottbus","ENE",1966,"Cottbus","Germany"
42,"Meidericher Spielverein 02 e. V. Duisburg","MSV Duisburg","MSV",1902,"Duisburg","Germany"
43,"Fußballclub Hansa Rostock e. V.","FC Hansa Rostock","HRO",1965,"Rostock","Germany"
44,"Aachener Turn- und Sportverein Alemannia 1900 e. V.","Alemannia Aachen","AAC",1900,"Aachen","Germany"
45,"Turn- und Sportverein München von 1860","TSV 1860 München","TSV",1860,"Munich","Germany"
46,"Spielvereinigung Unterhaching e.V.","SpVgg Unterhaching","UNT",1925,"Unterhaching","Germany"
47,"Krefelder Fußballclub Uerdingen 05 e.V.","KFC Uerdingen","KFC",1905,"Krefeld","Germany"
48,"Sportgemeinschaft 09 Wattenscheid e. V.","SG Wattenscheid 09","SGW",1909,"Bochum","Germany"
49,"1. Fußballclub Lokomotive Leipzig e.V.","1. FC Lokomotive Leipzig","LOK",1893,"Leipzig","Germany"
50,"1. Fußball-Club Saarbrücken e. V.","1. FC Saarbrücken","FCS",1903,"Saarbrücken","Germany"
51,"Sportvereinigung Stuttgarter Kickers e.V.","Stuttgarter Kickers","STK",1899,"Stuttgart","Germany"
52,"Sportverein Waldhof Mannheim 07 e.V.","SV Waldhof Mannheim","SVW",1907,"Mannheim","Germany"
53,"Sport-Club Rot-Weiß Oberhausen e.V.","Rot-Weiß Oberhausen","RWO",1904,"Oberhausen","Germany"
54,"Fußball-Club 08 Homburg-Saar e.V.","FC 08 Homburg","FCH",1908,"Homburg","Germany"
55,"Wuppertaler Sport-Verein e.V.","Wuppertaler SV","WSV",1954,"Wuppertal","Germany"
56,"Borussia Verein für Bewegungsspiele e.V.","Borussia Neunkirchen","NKI",1905,"Neunkirchen","Germany"
57,"Tennis Borussia Berlin e.V.","Tennis Borussia Berlin","TBB",1902,"Berlin","Germany"
58,"Sportliche Vereinigung Blau-Weiß 1890 e.V. Berlin","Blau-Weiß 1890 Berlin","BWB",1890,"Berlin","Germany"
59,"Sport-Club Fortuna Köln","SC Fortuna Köln","FOK",1948,"Cologne","Germany"
60,"Sport-Club Tasmania von 1900 Berlin e.V.","SC Tasmania 1900 Berlin","STB",1900,"Berlin","Germany"
61,"Sportverein Wehen 1926 - Taunusstein e. V.","Wehen Wiesbaden","WWB",1926,"Wiesbaden","Germany"
62,"Verein für Leibesübungen von 1899 e.V. Osnabrück","VfL Osnabrück","OSN",1899,"Osnabrück","Germany"
63,"Sportverein Sandhausen 1916 e.V.","SV Sandhausen","SVS",1916,"Sandhausen","Germany"
64,"Fußball Club Erzgebirge Aue e.V.","FC Erzgebirge Aue","AUE",1946,"Aue-Bad Schlema","Germany"
65,"Fußball-Club Würzburger Kicker e.V.","FC Würzburger Kickers","WBK",1907,"Würzburg","Germany"
66,"Fußballsportverein Frankfurt 1899 e.V.","FSV Frankfurt","FSV",1899,"Frankfurt","Germany"
67,"Verein für Rasenspiele 1921 Aalen e.V.","VfR Aalen","AAL",1921,"Aalen","Germany"
68,"Rot Weiss Ahlen e. V.","Rot Weiss Ahlen","Ahl",1996,"Ahlen","Germany"
69,"Spandauer Sportverein 1894 e.V.","Spandauer SV","SPS",1894,"Berlin","Germany"
70,"Essener Turnerbund Schwarz-Weiß Essen 1881 e.V.","Schwarz-Weiß Essen","SWE",1881,"Essen","Germany"
71,"Verein für Rasenspiele e.V. Mannheim","VfR Mannheim","VMN",1911,"Mannheim","Germany"
72,"Fußball-Club Heilbronn e.V.","FC Heilbronn","HLB",2003,"Heilbronn","Germany"
73,"Spielvereinigung Bayern Hof","SpVgg Bayern Hof","HOF",1910,"Hof","Germany"
74,"Turn- und Sportverein 07/10 Schloß Neuhaus e. V.","TuS Schloß Neuhaus","SNH",1973,"Paderborn","Germany"
75,"Hamburger Sportverein Barmbek-Uhlenhorst von 1923 e.V.","HSV Barmbek-Uhlenhorst","BUH",1923,"Hamburg","Germany"
76,"Turn- und Sportverein Rüstringen Olympia Wilhelmshaven","TSR Olympia Wilhelmshaven","WHH",1947,"Wilhelmshaven","Germany"
77,"Sportgemeinde Eintracht e.V. 1902 Bad Kreuznach","Eintracht Bad Kreuznach","BKN",1902,"Bad Kreuznach","Germany"
78,"Ballspielverein 07 Schwenningen e. V.","BSV 07 Schwenningen","SWN",1907,"Villingen-Schwenningen","Germany"
79,"Bonner Sport-Club 01/04 e.V.","Bonner SC","BON",1965,"Bonn","Germany"
80,"Fußballklub 03 Pirmasens e.V.","FK Pirmasens","PMS",1903,"Pirmasens","Germany"
81,"Fußball-Club Gütersloh e.V.","FC Gütersloh","GUE",2000,"Gütersloh","Germany"
82,"1. Fußballclub Mülheim-Styrum 1923 e. V.","1. FC Mülheim","MLH",1923,"Mülheim and der Ruhr","Germany"
83,"Turn- und Sportvereinigung Koblenz 1911 e.V.","TuS Koblenz","KOB",1911,"Koblenz","Germany"
84,"Offenbacher Fußball-Club Kickers 1901 e. V.","Kickers Offenbach","OFF",1901,"Offenbach","Germany"
85,"Fußballclub Carl Zeiss Jena e.V.","FC Carl Zeiss Jena","CZJ",1903,"Jena","Germany"
86,"Sportverein Wacker Burghausen","SV Wacker Burghausen","WBH",1930,"Burghausen","Germany"
87,"Sportfreunde Siegen von 1899 e.V.","Sportfreunde Siegen","SFS",1899,"Siegen","Germany"
88,"Sport-Club Wacker 04 Berlin e.V.","Wacker 04 Berlin","WBE",1904,"Berlin","Germany"
89,"Verein für Rasenspiele Wormatia Worms 08 e.V.","Wormatia Worms","WWO",1908,"Worms","Germany"
90,"Freiburger Fußball-Club e.V.","Freiburger FC","FFC",1897,"Freiburg","Germany"
91,"1. Sport-Club Göttingen von 1905 e.V.","1. SC Göttingen 05","GOE",2012,"Göttingen","Germany"
92,"Spielvereinigung Oberfranken Bayreuth 1921 e.V.","SpVgg Bayreuth","BRT",1921,"Bayreuth","Germany"
93,"Sport-Gemeinschaft Union Solingen 97 e.V.","SG Union Solingen","UNS",1949,"Solingen","Germany"
94,"SV Eintracht-Trier 05 e. V.","SV Eintracht Trier 05","ETR",1948,"Trier","Germany"
95,"Fußballclub Rot-Weiß Erfurt e.V.","FC Rot-Weiß Erfurt","RWE",1966,"Erfurt","Germany"
96,"Verein für Bewegungsspiele Lübeck von 1919 e. V.","VfB Lübeck","LUB",1919,"Lübeck","Germany"
97,"Chemnitzer Fußballclub e.V.","Chemnitzer FC","CHM",1966,"Chemnitz","Germany"
98,"Sport- und Schwimmverein Reutlingen 05 e.V.","SSV Reutlingen 05","RTL",1905,"Reutlingen","Germany"
99,"1. Fussball-Club Schweinfurt 1905, Verein für Leibesübungen e.V.","1. FC Schweinfurt 05","SWF",1905,"Schweinfurt","Germany"
100,"Sportverein Babelsberg 03 e.V.","SV Babelsberg 03","BBB",1903,"Potsdam","Germany"
101,"Sportverein Meppen 1912 e.V.","SV Meppen","SVM",1912,"Meppen","Germany"
102,"Fußball-Sport-Verein Zwickau e.V.","FSV Zwickau","ZWK",1912,"Zwickau","Germany"
103,"Verein für Bewegungsspiele e.V. Oldenburg","VfB Oldenburg","OLB",1897,"Oldenburg","Germany"
104,"Fußball-Club Remscheid e.V.","FC Remscheid","REM",1990,"Remscheid","Germany"
105,"Ballspielverein 08 Lüttringhausen","BV 08 Lüttringhausen","BVL",1908,"Remscheid","Germany"
106,"Verein für Bewegungsspiele","VfB Marathon Remscheid","MRM",1906,"Remscheid","Germany"
107,"Hallescher Fußball-Club e.V.","Hallescher FC","HFC",1966,"Halle an der Saale","Germany"
108,"Ballspielgemeinschaft Stahl Brandenburg e. V.","BSG Stahl Brandenburg","SBB",1950,"Brandenburg an der Havel","Germany"
109,"Turn- und Sportverein Havelse 1912 e.V.","TSV Havelse","HVL",1912,"Garbsen","Germany"
110,"Kasseler Sport-Verein Hessen Kassel e. V.","KSV Hessen Kassel","HKS",1893,"Kassel","Germany"
111,"Sportverein Viktoria 1901 e.V. Aschaffenburg","Viktoria Aschaffenburg","ASF",1901,"Aschaffenburg","Germany"
112,"1. Hanauer Fußball-Club 1893","FC Hanau 93","HAN",1893,"Hanau","Germany"
113,"Fußballsportverein Salmrohr 1921 e.V.","FSV Salmrohr","SMR",1921,"Salmrohr","Germany"
114,"Kultur- und Sportverein Baunatal e.V.","KSV Baunatal","BAU",1964,"Baunatal","Germany"
115,"Spielvereinigung 1916 Erkenschwick e.V.","SpVgg Erkenschwick","ERS",1916,"Oer-Erkenschwick","Germany"
116,"Verein für Rasensport Bürstadt 1910 e. V.","VfR Bürstadt","BUE",1910,"Bürstadt","Germany"
117,"Sport-Club Charlottenburg e.V.","SC Charlottenburg","SCC",1902,"Berlin","Germany"
118,"Sport-Club Herford","SC Herford","SCH",1972,"Herford","Germany"
119,"Sportclub Westfalia 1904 e.V. Herne","SC Westfalia Herne","SWH",1904,"Herne","Germany"
120,"1. Fußballclub Bocholt 1900 e. V.","1. FC Bocholt","BCH",1900,"Bocholt","Germany"
121,"Würzburger Fußball-Verein 04 e.V.","Würzburger FV","WFV",1904,"Würzburg","Germany"
122,"Sportverein Röchling Völklingen 06 e.V.","SV Röchling Völklingen","SRV",1906,"Völklingen","Germany"
123,"Rot Weiß Lüdenscheid e. V.","Rot-Weiß Lüdenscheid","RWL",1908,"Lüdenscheid","Germany"
124,"FC Viktoria Köln 1904 e. V.","Viktoria Köln","VKL",2010,"Cologne","Germany"
125,"Eisenbahner Sport Verein Ingolstadt-Ringsee e. V.","ESV Ingolstadt","ESI",1919,"Ingolstadt","Germany"
126,"Oststädtischer Sportverein Hannover von 1923 e.V.","OSV Hannover","OSV",1923,"Hanover","Germany"
127,"Verein für Bewegungsspiele Eppingen 1921 e. V.","VfB Eppingen","EPP",1921,"Eppingen","Germany"
128,"Deutscher Sport Club Wanne-Eickel","DSC Wanne-Eickel","WAE",1954,"Herne","Germany"
129,"Olympischer-Sport-Club Bremerhaven von 1972 e. V.","OSC Bremerhaven","BHV",1972,"Bremerhaven","Germany"
130,"Sport-Verein Arminia Hannover e.V.","SV Arminia Hannover","SAH",1910,"Hanover","Germany"
131,"Männer-Turn-Verein von 1881 Ingolstadt","MTV Ingolstadt","MTV",1881,"Ingolstadt","Germany"